tag,total_companies,first_observed_batch,latest_observed_batch,n_batches_present,peak_batch,peak_count,peak_share_pct,earliest_year,earliest_year_count,earliest_year_share_pct,earliest_batch_share_pct,latest_full_batch,latest_count,latest_share_pct,count_change,count_change_vs_earliest_year_avg,pp_change,rolling3_latest_share_pct,mean_share_full_batches_pct,newly_appearing,peaked_then_declined,early_share_pct,late_share_pct,median_share_pct,cv_share,emergence_class,rank_latest,rank_earliest_year,rank_change
Insurance,58,Winter 2021,Winter 2027,17,Summer 2026,6,2.553,2021,8,1.1,1.488,Summer 2026,6,2.553,1,2.0,1.453,1.361,1.406,False,False,1.127,1.789,1.302,0.498,Low-volume / mixed,31,51,20
AIOps,57,Winter 2021,Fall 2026,16,Summer 2024,10,4.032,2021,5,0.688,0.595,Summer 2026,6,2.553,4,3.5,1.865,1.186,1.511,False,False,0.681,1.276,1.16,0.69,Spiky,31,75,44
Security,59,Winter 2021,Summer 2026,14,Spring 2025,4,2.797,2021,12,1.651,1.488,Summer 2026,6,2.553,1,0.0,0.902,1.022,1.504,False,False,1.639,1.533,1.474,0.543,Low-volume / mixed,31,35,4
Enterprise,83,Winter 2021,Summer 2026,16,Winter 2023,15,5.474,2021,8,1.1,1.19,Summer 2026,6,2.553,2,2.0,1.453,1.361,2.245,False,True,1.107,1.789,1.937,0.597,Low-volume / mixed,31,51,20
Cybersecurity,34,Winter 2021,Summer 2026,14,Fall 2025,4,2.74,2021,4,0.55,0.298,Summer 2026,6,2.553,5,4.0,2.003,1.019,1.058,False,False,0.532,1.276,0.935,0.748,Low-volume / mixed,31,97,66
Consumer,197,Winter 2021,Fall 2026,17,Winter 2022,39,9.799,2021,26,3.576,4.167,Summer 2026,6,2.553,-8,-7.0,-1.023,2.215,5.285,False,True,3.618,3.071,4.901,0.454,Low-volume / mixed,31,13,-18
Marketplace,125,Winter 2021,Summer 2026,14,Summer 2021,33,8.44,2021,53,7.29,5.952,Summer 2026,6,2.553,-14,-20.5,-4.737,0.851,2.585,False,True,7.196,1.276,1.768,1.005,Declining,31,7,-24
AI Assistant,143,Winter 2021,Fall 2026,17,Winter 2024,20,8.065,2021,14,1.926,1.488,Summer 2026,5,2.128,0,-2.0,0.202,1.561,4.033,False,True,1.895,2.09,3.73,0.512,Low-volume / mixed,38,30,-8
Aerospace,39,Winter 2021,Fall 2026,15,Fall 2024,3,3.191,2021,5,0.688,0.595,Summer 2026,5,2.128,3,2.5,1.44,1.051,1.199,False,False,0.681,1.577,0.968,0.785,Spiky,38,75,37
Drones,18,Summer 2021,Fall 2026,12,Summer 2026,5,2.128,2021,2,0.275,0.0,Summer 2026,5,2.128,5,4.0,1.853,1.215,0.456,True,False,0.256,1.321,0.403,1.134,Spiky,38,143,105
Deep Learning,24,Winter 2021,Fall 2026,12,Summer 2026,5,2.128,2021,5,0.688,1.488,Summer 2026,5,2.128,0,2.5,1.44,1.215,0.607,False,False,0.744,1.321,0.47,0.972,Spiky,38,75,37
Health Tech,97,Winter 2021,Summer 2026,13,Summer 2023,12,5.455,2021,17,2.338,2.381,Summer 2026,5,2.128,-3,-3.5,-0.21,0.709,2.66,False,True,2.341,1.064,2.419,0.603,Low-volume / mixed,38,25,-13
Robotic Process Automation,27,Winter 2021,Summer 2026,14,Summer 2026,4,1.702,2021,5,0.688,1.19,Summer 2026,4,1.702,0,1.5,1.014,0.906,0.735,False,False,0.723,1.107,0.692,0.651,Low-volume / mixed,43,75,32
Sales,99,Winter 2021,Summer 2026,14,Summer 2022,13,5.556,2021,12,1.651,1.488,Summer 2026,4,1.702,-1,-2.0,0.051,0.567,2.667,False,True,1.639,0.851,1.968,0.645,Low-volume / mixed,43,35,-8
Real Estate,48,Winter 2021,Summer 2026,15,Summer 2022,8,3.419,2021,6,0.825,1.19,Summer 2026,4,1.702,0,1.0,0.877,0.735,1.218,False,True,0.851,0.851,1.127,0.665,Spiky,43,65,22
