company_id,company_slug,batch,batch_code,year,subindustry,industry,subindustry_child
23629,axar-ai,Winter 2021,W21,2021.0,B2B,B2B,
22579,abacum,Winter 2021,W21,2021.0,B2B -> Finance and Accounting,B2B,Finance and Accounting
23096,aerotime,Winter 2021,W21,2021.0,B2B -> Productivity,B2B,Productivity
23292,agendapro,Winter 2021,W21,2021.0,B2B -> Marketing,B2B,Marketing
22630,alba-orbital,Winter 2021,W21,2021.0,Industrials -> Aviation and Space,Industrials,Aviation and Space
22640,albedo,Winter 2021,W21,2021.0,Industrials -> Aviation and Space,Industrials,Aviation and Space
22834,alinea,Winter 2021,W21,2021.0,Fintech -> Consumer Finance,Fintech,Consumer Finance
23630,alltruists,Winter 2021,W21,2021.0,Consumer -> Job and Career Services,Consumer,Job and Career Services
23270,alokai,Winter 2021,W21,2021.0,"B2B -> Engineering, Product and Design",B2B,"Engineering, Product and Design"
23315,alpas,Winter 2021,W21,2021.0,B2B,B2B,
22866,anima,Winter 2021,W21,2021.0,Healthcare,Healthcare,
23537,arpio,Winter 2021,W21,2021.0,B2B -> Infrastructure,B2B,Infrastructure
22627,atomic-industries,Winter 2021,W21,2021.0,Industrials -> Manufacturing and Robotics,Industrials,Manufacturing and Robotics
22581,atrato,Winter 2021,W21,2021.0,Fintech -> Payments,Fintech,Payments
22935,aurabeat,Winter 2021,W21,2021.0,Industrials -> Energy,Industrials,Energy
22934,auricle,Winter 2021,W21,2021.0,Healthcare -> Medical Devices,Healthcare,Medical Devices
23531,authologic,Winter 2021,W21,2021.0,"B2B -> Engineering, Product and Design",B2B,"Engineering, Product and Design"
22771,avenue,Winter 2021,W21,2021.0,B2B -> Operations,B2B,Operations
23515,avion-school,Winter 2021,W21,2021.0,Education,Education,
22828,aviron-interactive,Winter 2021,W21,2021.0,Consumer -> Home and Personal,Consumer,Home and Personal
22717,avocado,Winter 2021,W21,2021.0,B2B -> Retail,B2B,Retail
23423,awari,Winter 2021,W21,2021.0,Education,Education,
22742,axiom-ai,Winter 2021,W21,2021.0,B2B -> Operations,B2B,Operations
22779,axle-health,Winter 2021,W21,2021.0,Healthcare -> Healthcare IT,Healthcare,Healthcare IT
23412,axolo,Winter 2021,W21,2021.0,"B2B -> Engineering, Product and Design",B2B,"Engineering, Product and Design"
22718,bewell-digital,Winter 2021,W21,2021.0,Healthcare -> Healthcare IT,Healthcare,Healthcare IT
23175,betterhalf,Winter 2021,W21,2021.0,Consumer -> Social,Consumer,Social
22792,bimaplan,Winter 2021,W21,2021.0,Fintech -> Insurance,Fintech,Insurance
23190,biodock,Winter 2021,W21,2021.0,Healthcare -> Therapeutics,Healthcare,Therapeutics
23445,blink,Winter 2021,W21,2021.0,Industrials -> Automotive,Industrials,Automotive
23555,bloom-3,Winter 2021,W21,2021.0,Fintech -> Consumer Finance,Fintech,Consumer Finance
22703,bluelight,Winter 2021,W21,2021.0,B2B -> Analytics,B2B,Analytics
23121,botbuilt,Winter 2021,W21,2021.0,Industrials -> Manufacturing and Robotics,Industrials,Manufacturing and Robotics
22881,briohr,Winter 2021,W21,2021.0,B2B -> Human Resources,B2B,Human Resources
22612,bristle,Winter 2021,W21,2021.0,Healthcare -> Consumer Health and Wellness,Healthcare,Consumer Health and Wellness
23434,broad,Winter 2021,W21,2021.0,Fintech -> Banking and Exchange,Fintech,Banking and Exchange
22791,bueno-finance,Winter 2021,W21,2021.0,Fintech -> Credit and Lending,Fintech,Credit and Lending
23371,businessonbot,Winter 2021,W21,2021.0,B2B -> Operations,B2B,Operations
22829,camber-2,Winter 2021,W21,2021.0,Healthcare -> Healthcare IT,Healthcare,Healthcare IT
23631,camelan,Winter 2021,W21,2021.0,Consumer -> Home and Personal,Consumer,Home and Personal
23186,camp,Winter 2021,W21,2021.0,Consumer,Consumer,
22870,care-weather,Winter 2021,W21,2021.0,Industrials -> Aviation and Space,Industrials,Aviation and Space
22745,cashbook,Winter 2021,W21,2021.0,B2B -> Finance and Accounting,B2B,Finance and Accounting
22775,charge-running,Winter 2021,W21,2021.0,Consumer -> Home and Personal,Consumer,Home and Personal
23279,chatwoot,Winter 2021,W21,2021.0,B2B -> Operations,B2B,Operations
23435,cheqout,Winter 2021,W21,2021.0,Fintech -> Payments,Fintech,Payments
23633,chorus-sleep,Winter 2021,W21,2021.0,B2B,B2B,
22711,clay,Winter 2021,W21,2021.0,"B2B -> Engineering, Product and Design",B2B,"Engineering, Product and Design"
23550,clear,Winter 2021,W21,2021.0,Consumer -> Social,Consumer,Social
22752,clipdrop,Winter 2021,W21,2021.0,Consumer -> Content,Consumer,Content
22710,coverified,Winter 2021,W21,2021.0,Healthcare -> Healthcare IT,Healthcare,Healthcare IT
23276,codeball,Winter 2021,W21,2021.0,"B2B -> Engineering, Product and Design",B2B,"Engineering, Product and Design"
22955,coderhouse,Winter 2021,W21,2021.0,Education,Education,
22997,codingal,Winter 2021,W21,2021.0,Education,Education,
23200,compose-ai,Winter 2021,W21,2021.0,B2B -> Productivity,B2B,Productivity
22841,controlhub,Winter 2021,W21,2021.0,B2B -> Finance and Accounting,B2B,Finance and Accounting
22706,curvenote,Winter 2021,W21,2021.0,Healthcare -> Healthcare IT,Healthcare,Healthcare IT
22781,cyble,Winter 2021,W21,2021.0,B2B -> Security,B2B,Security
22987,darrow,Winter 2021,W21,2021.0,B2B -> Legal,B2B,Legal
22842,dashlabs-ai,Winter 2021,W21,2021.0,Healthcare -> Healthcare IT,Healthcare,Healthcare IT
23303,dataherald,Winter 2021,W21,2021.0,B2B,B2B,
22951,datrics,Winter 2021,W21,2021.0,Healthcare,Healthcare,
23405,dayra,Winter 2021,W21,2021.0,Fintech -> Credit and Lending,Fintech,Credit and Lending
22470,degrees-of-freedom,Winter 2021,W21,2021.0,Education,Education,
23458,djamo,Winter 2021,W21,2021.0,Fintech -> Banking and Exchange,Fintech,Banking and Exchange
22656,dreamworld,Winter 2021,W21,2021.0,Consumer -> Gaming,Consumer,Gaming
23400,dressd,Winter 2021,W21,2021.0,Consumer -> Apparel and Cosmetics,Consumer,Apparel and Cosmetics
23038,dyte,Winter 2021,W21,2021.0,B2B -> Infrastructure,B2B,Infrastructure
23264,eat-blueprint,Winter 2021,W21,2021.0,Consumer -> Food and Beverage,Consumer,Food and Beverage
22831,emerge-tools,Winter 2021,W21,2021.0,"B2B -> Engineering, Product and Design",B2B,"Engineering, Product and Design"
23037,enable-us,Winter 2021,W21,2021.0,B2B -> Sales,B2B,Sales
22744,encord,Winter 2021,W21,2021.0,B2B -> Infrastructure,B2B,Infrastructure
22953,enode,Winter 2021,W21,2021.0,Industrials -> Energy,Industrials,Energy
23263,entelexo-biotherapeutics,Winter 2021,W21,2021.0,Healthcare -> Therapeutics,Healthcare,Therapeutics
23433,estoca,Winter 2021,W21,2021.0,B2B -> Supply Chain and Logistics,B2B,Supply Chain and Logistics
22787,expent-inc,Winter 2021,W21,2021.0,B2B -> Operations,B2B,Operations
23189,fable,Winter 2021,W21,2021.0,"B2B -> Engineering, Product and Design",B2B,"Engineering, Product and Design"
