industry,Winter 2021,Summer 2021,Winter 2022,Summer 2022,Winter 2023,Summer 2023,Winter 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026,Spring 2026,Summer 2026,Fall 2026,Winter 2027
B2B,48.214,46.292,44.975,51.709,67.153,69.091,62.903,64.516,60.638,62.651,67.832,67.47,60.959,63.317,58.462,51.915,51.429,100.0
Consumer,11.607,9.974,9.548,9.402,7.664,4.091,11.29,7.661,11.702,5.422,4.895,7.229,11.644,4.02,6.667,4.681,14.286,0.0
Education,3.869,3.836,2.01,0.427,1.095,1.364,1.21,0.403,1.064,3.012,2.098,1.205,0.0,0.0,0.0,0.426,0.0,0.0
Fintech,15.179,16.113,22.613,18.376,11.679,7.273,7.258,4.839,6.383,7.229,4.895,5.422,5.479,9.045,10.769,6.809,8.571,0.0
Government,0.298,0.256,0.251,0.0,0.365,0.0,0.403,1.613,1.064,2.41,1.399,0.602,1.37,0.0,0.513,0.851,2.857,0.0
Healthcare,12.202,16.368,11.055,10.256,8.394,12.727,11.694,9.274,9.574,6.627,7.692,7.229,7.534,8.04,8.718,8.936,0.0,0.0
Industrials,6.845,5.115,6.03,5.983,2.19,2.727,4.032,10.081,5.319,11.446,10.49,8.434,9.589,14.07,12.821,23.83,22.857,0.0
Real Estate and Construction,1.786,2.046,3.518,3.846,1.46,2.727,1.21,1.613,4.255,1.205,0.699,2.41,3.425,1.508,2.051,2.553,0.0,0.0
