tag,rank_earliest_year,rank_latest,rank_change,earliest_year_share_pct,latest_share_pct,pp_change,earliest_year_count,latest_count,latest_full_batch,major_mover
Sales Enablement,75,64,11,0.688,0.851,0.163,5,2,Summer 2026,True
Restaurant Tech,143,64,79,0.275,0.851,0.576,2,2,Summer 2026,True
Renewable Energy,143,64,79,0.275,0.851,0.576,2,2,Summer 2026,True
Recruiting,32,64,-32,1.788,0.851,-0.937,13,2,Summer 2026,True
Biotechnology,143,64,79,0.275,0.851,0.576,2,2,Summer 2026,True
Oncology,143,64,79,0.275,0.851,0.576,2,2,Summer 2026,True
Monitoring,185,64,121,0.138,0.851,0.713,1,2,Summer 2026,True
Marketing,51,64,-13,1.1,0.851,-0.249,8,2,Summer 2026,True
Legal,143,64,79,0.275,0.851,0.576,2,2,Summer 2026,True
ML,143,64,79,0.275,0.851,0.576,2,2,Summer 2026,True
Healthcare IT,75,64,11,0.688,0.851,0.163,5,2,Summer 2026,True
Health Insurance,97,64,33,0.55,0.851,0.301,4,2,Summer 2026,True
Time Series,231,96,135,0.0,0.426,0.426,0,1,Summer 2026,True
Exascale Computing,231,96,135,0.0,0.426,0.426,0,1,Summer 2026,True
Telehealth,58,96,-38,0.963,0.426,-0.537,7,1,Summer 2026,True
Therapeutics,58,96,-38,0.963,0.426,-0.537,7,1,Summer 2026,True
Consumer Products,143,96,47,0.275,0.426,0.151,2,1,Summer 2026,True
Edge Computing Semiconductors,231,96,135,0.0,0.426,0.426,0,1,Summer 2026,True
Telecommunications,75,96,-21,0.688,0.426,-0.262,5,1,Summer 2026,True
Self-Driving Vehicles,185,96,89,0.138,0.426,0.288,1,1,Summer 2026,True
Genomics,111,96,15,0.413,0.426,0.013,3,1,Summer 2026,True
Digital Freight Brokerage,231,96,135,0.0,0.426,0.426,0,1,Summer 2026,True
Customer Success,97,96,1,0.55,0.426,-0.124,4,1,Summer 2026,False
Customer Support,143,96,47,0.275,0.426,0.151,2,1,Summer 2026,True
Geographic Information System,143,96,47,0.275,0.426,0.151,2,1,Summer 2026,True
Design Tools,46,96,-50,1.238,0.426,-0.812,9,1,Summer 2026,True
Customer Service,143,96,47,0.275,0.426,0.151,2,1,Summer 2026,True
Databases,143,96,47,0.275,0.426,0.151,2,1,Summer 2026,True
eLearning,19,96,-77,2.751,0.426,-2.325,20,1,Summer 2026,True
Satellites,75,96,-21,0.688,0.426,-0.262,5,1,Summer 2026,True
HR Tech,35,96,-61,1.651,0.426,-1.225,12,1,Summer 2026,True
Mental Health,143,96,47,0.275,0.426,0.151,2,1,Summer 2026,True
Operations,75,96,-21,0.688,0.426,-0.262,5,1,Summer 2026,True
Housing,111,96,15,0.413,0.426,0.013,3,1,Summer 2026,True
Neurotechnology,111,96,15,0.413,0.426,0.013,3,1,Summer 2026,True
Careers,231,96,135,0.0,0.426,0.426,0,1,Summer 2026,True
Regtech,143,96,47,0.275,0.426,0.151,2,1,Summer 2026,True
eSports,231,96,135,0.0,0.426,0.426,0,1,Summer 2026,True
SMB,185,96,89,0.138,0.426,0.288,1,1,Summer 2026,True
Retail,97,96,1,0.55,0.426,-0.124,4,1,Summer 2026,False
Climate,10,96,-86,4.402,0.426,-3.976,32,1,Summer 2026,True
Compliance,65,96,-31,0.825,0.426,-0.399,6,1,Summer 2026,True
Privacy,111,96,15,0.413,0.426,0.013,3,1,Summer 2026,True
Radar,231,96,135,0.0,0.426,0.426,0,1,Summer 2026,True
Medical Devices,30,96,-66,1.926,0.426,-1.5,14,1,Summer 2026,True
Location-based,231,96,135,0.0,0.426,0.426,0,1,Summer 2026,True
Electronics,231,96,135,0.0,0.426,0.426,0,1,Summer 2026,True
Drug discovery,75,96,-21,0.688,0.426,-0.262,5,1,Summer 2026,True
AR,185,96,89,0.138,0.426,0.288,1,1,Summer 2026,True
APIs,111,96,15,0.413,0.426,0.013,3,1,Summer 2026,True
Airlines,231,96,135,0.0,0.426,0.426,0,1,Summer 2026,True
Alternative Fuels,231,96,135,0.0,0.426,0.426,0,1,Summer 2026,True
Architecture,231,96,135,0.0,0.426,0.426,0,1,Summer 2026,True
Skincare,231,96,135,0.0,0.426,0.426,0,1,Summer 2026,True
Travel,75,96,-21,0.688,0.426,-0.262,5,1,Summer 2026,True
Unmanned Vehicle,231,96,135,0.0,0.426,0.426,0,1,Summer 2026,True
Video,51,96,-45,1.1,0.426,-0.674,8,1,Summer 2026,True
Vaccines,231,96,135,0.0,0.426,0.426,0,1,Summer 2026,True
Warehouse Management Tech,97,96,1,0.55,0.426,-0.124,4,1,Summer 2026,False
Virtual Reality,143,96,47,0.275,0.426,0.151,2,1,Summer 2026,True
Smart Waste Management,231,96,135,0.0,0.426,0.426,0,1,Summer 2026,True
Automotive,231,96,135,0.0,0.426,0.426,0,1,Summer 2026,True
Telemedicine,42,146,-104,1.376,0.0,-1.376,10,0,Summer 2026,True
Sustainable Tourism,231,146,85,0.0,0.0,0.0,0,0,Summer 2026,True
Sports Tech,143,146,-3,0.275,0.0,-0.275,2,0,Summer 2026,False
Speech Recognition,185,146,39,0.138,0.0,-0.138,1,0,Summer 2026,True
Subscriptions,32,146,-114,1.788,0.0,-1.788,13,0,Summer 2026,True
Sustainable Fashion,143,146,-3,0.275,0.0,-0.275,2,0,Summer 2026,False
Solar Power,143,146,-3,0.275,0.0,-0.275,2,0,Summer 2026,False
Scheduling,143,146,-3,0.275,0.0,-0.275,2,0,Summer 2026,False
Talent Acquisition,185,146,39,0.138,0.0,-0.138,1,0,Summer 2026,True
Team Collaboration,185,146,39,0.138,0.0,-0.138,1,0,Summer 2026,True
Smart Home Assistants,231,146,85,0.0,0.0,0.0,0,0,Summer 2026,True
Social,111,146,-35,0.413,0.0,-0.413,3,0,Summer 2026,True
Social Media,111,146,-35,0.413,0.0,-0.413,3,0,Summer 2026,True
Social Network,143,146,-3,0.275,0.0,-0.275,2,0,Summer 2026,False
Autonomous Trucking,143,146,-3,0.275,0.0,-0.275,2,0,Summer 2026,False
Autonomous Shipping,231,146,85,0.0,0.0,0.0,0,0,Summer 2026,True
Autonomous Delivery,143,146,-3,0.275,0.0,-0.275,2,0,Summer 2026,False
Banking as a Service,111,146,-35,0.413,0.0,-0.413,3,0,Summer 2026,True
Search,185,146,39,0.138,0.0,-0.138,1,0,Summer 2026,True
