country,batch,count,batch_order,total_companies,share_pct
Israel,Winter 2022,3,20220,398,0.75
Israel,Summer 2022,6,20222,234,2.56
Israel,Winter 2023,7,20230,274,2.55
Israel,Summer 2023,1,20232,220,0.45
Israel,Winter 2025,1,20250,166,0.6
Israel,Summer 2026,1,20262,235,0.43
Italy,Winter 2021,1,20210,336,0.3
Ivory Coast,Winter 2021,1,20210,336,0.3
Japan,Summer 2022,1,20222,234,0.43
Jordan,Winter 2022,1,20220,398,0.25
Kenya,Winter 2021,1,20210,336,0.3
Kenya,Summer 2021,1,20212,391,0.26
Kenya,Winter 2022,2,20220,398,0.5
Kenya,Summer 2022,1,20222,234,0.43
Kenya,Summer 2023,1,20232,220,0.45
Kenya,Winter 2024,1,20240,248,0.4
Lithuania,Winter 2021,1,20210,336,0.3
Malaysia,Winter 2021,1,20210,336,0.3
Malaysia,Summer 2021,2,20212,391,0.51
Malaysia,Winter 2022,2,20220,398,0.5
Mexico,Winter 2021,12,20210,336,3.57
Mexico,Summer 2021,19,20212,391,4.86
Mexico,Winter 2022,12,20220,398,3.02
Mexico,Summer 2022,4,20222,234,1.71
Mexico,Winter 2023,3,20230,274,1.09
Mexico,Summer 2023,1,20232,220,0.45
Mexico,Summer 2025,1,20252,166,0.6
Morocco,Summer 2021,2,20212,391,0.51
Namibia,Summer 2021,1,20212,391,0.26
Netherlands,Summer 2021,4,20212,391,1.02
Netherlands,Winter 2022,2,20220,398,0.5
Netherlands,Summer 2022,2,20222,234,0.85
Netherlands,Winter 2025,1,20250,166,0.6
Netherlands,Summer 2025,1,20252,166,0.6
Netherlands,Winter 2026,1,20260,199,0.5
New Zealand,Winter 2022,1,20220,398,0.25
Nigeria,Winter 2021,4,20210,336,1.19
Nigeria,Summer 2021,4,20212,391,1.02
Nigeria,Winter 2022,15,20220,398,3.77
Nigeria,Summer 2022,5,20222,234,2.14
Nigeria,Winter 2023,2,20230,274,0.73
Nigeria,Summer 2023,1,20232,220,0.45
Nigeria,Winter 2024,1,20240,248,0.4
Norway,Winter 2021,2,20210,336,0.6
Norway,Winter 2022,1,20220,398,0.25
Norway,Summer 2022,1,20222,234,0.43
Norway,Fall 2025,1,20253,146,0.68
Norway,Winter 2026,1,20260,199,0.5
Norway,Summer 2026,1,20262,235,0.43
Pakistan,Winter 2021,1,20210,336,0.3
Pakistan,Summer 2021,2,20212,391,0.51
Pakistan,Winter 2022,4,20220,398,1.01
Pakistan,Summer 2022,1,20222,234,0.43
Pakistan,Winter 2023,1,20230,274,0.36
Panama,Winter 2022,2,20220,398,0.5
Panama,Summer 2022,1,20222,234,0.43
Peru,Winter 2021,2,20210,336,0.6
Peru,Summer 2021,2,20212,391,0.51
Peru,Winter 2022,1,20220,398,0.25
Peru,Summer 2022,1,20222,234,0.43
Philippines,Winter 2021,3,20210,336,0.89
Philippines,Summer 2021,3,20212,391,0.77
Philippines,Summer 2022,1,20222,234,0.43
Poland,Winter 2021,2,20210,336,0.6
Poland,Summer 2021,1,20212,391,0.26
Puerto Rico,Summer 2022,1,20222,234,0.43
Romania,Winter 2021,1,20210,336,0.3
Romania,Summer 2021,1,20212,391,0.26
Saudi Arabia,Winter 2022,1,20220,398,0.25
Saudi Arabia,Summer 2022,3,20222,234,1.28
Saudi Arabia,Winter 2023,1,20230,274,0.36
Senegal,Winter 2021,1,20210,336,0.3
Singapore,Winter 2021,4,20210,336,1.19
Singapore,Summer 2021,14,20212,391,3.58
Singapore,Winter 2022,11,20220,398,2.76
Singapore,Summer 2022,4,20222,234,1.71
Singapore,Winter 2023,2,20230,274,0.73
Singapore,Summer 2023,1,20232,220,0.45
Singapore,Fall 2024,1,20243,94,1.06
Singapore,Winter 2026,1,20260,199,0.5
Singapore,Summer 2026,2,20262,235,0.85
Singapore,Fall 2026,1,20263,35,2.86
Slovenia,Winter 2021,1,20210,336,0.3
Slovenia,Summer 2022,1,20222,234,0.43
South Africa,Summer 2021,2,20212,391,0.51
South Korea,Winter 2021,1,20210,336,0.3
South Korea,Summer 2021,1,20212,391,0.26
