company_id,company_slug,batch,batch_code,year,industry,level
22842,dashlabs-ai,Winter 2021,W21,2021,Healthcare IT,child
23303,dataherald,Winter 2021,W21,2021,B2B,top
22951,datrics,Winter 2021,W21,2021,Healthcare,top
23405,dayra,Winter 2021,W21,2021,Fintech,top
23405,dayra,Winter 2021,W21,2021,Credit and Lending,child
22470,degrees-of-freedom,Winter 2021,W21,2021,Education,top
23458,djamo,Winter 2021,W21,2021,Fintech,top
23458,djamo,Winter 2021,W21,2021,Banking and Exchange,child
22656,dreamworld,Winter 2021,W21,2021,Consumer,top
22656,dreamworld,Winter 2021,W21,2021,Gaming,child
23400,dressd,Winter 2021,W21,2021,Consumer,top
23400,dressd,Winter 2021,W21,2021,Apparel and Cosmetics,child
23038,dyte,Winter 2021,W21,2021,B2B,top
23038,dyte,Winter 2021,W21,2021,Infrastructure,child
23264,eat-blueprint,Winter 2021,W21,2021,Consumer,top
23264,eat-blueprint,Winter 2021,W21,2021,Food and Beverage,child
22831,emerge-tools,Winter 2021,W21,2021,B2B,top
22831,emerge-tools,Winter 2021,W21,2021,"Engineering, Product and Design",child
23037,enable-us,Winter 2021,W21,2021,B2B,top
23037,enable-us,Winter 2021,W21,2021,Sales,child
22744,encord,Winter 2021,W21,2021,B2B,top
22744,encord,Winter 2021,W21,2021,Infrastructure,child
22953,enode,Winter 2021,W21,2021,Industrials,top
22953,enode,Winter 2021,W21,2021,Energy,child
23263,entelexo-biotherapeutics,Winter 2021,W21,2021,Healthcare,top
23263,entelexo-biotherapeutics,Winter 2021,W21,2021,Therapeutics,child
23433,estoca,Winter 2021,W21,2021,B2B,top
23433,estoca,Winter 2021,W21,2021,Supply Chain and Logistics,child
22787,expent-inc,Winter 2021,W21,2021,B2B,top
22787,expent-inc,Winter 2021,W21,2021,Operations,child
23189,fable,Winter 2021,W21,2021,B2B,top
23189,fable,Winter 2021,W21,2021,"Engineering, Product and Design",child
22786,faction,Winter 2021,W21,2021,Industrials,top
22786,faction,Winter 2021,W21,2021,Automotive,child
22879,fathom,Winter 2021,W21,2021,B2B,top
22879,fathom,Winter 2021,W21,2021,Productivity,child
23174,feroot-security,Winter 2021,W21,2021,B2B,top
23174,feroot-security,Winter 2021,W21,2021,Security,child
22826,fifthtry,Winter 2021,W21,2021,B2B,top
22826,fifthtry,Winter 2021,W21,2021,Productivity,child
23065,finantier,Winter 2021,W21,2021,Fintech,top
23065,finantier,Winter 2021,W21,2021,Banking and Exchange,child
22755,finary,Winter 2021,W21,2021,Fintech,top
22755,finary,Winter 2021,W21,2021,Asset Management,child
22903,finary-com,Winter 2021,W21,2021,Fintech,top
22903,finary-com,Winter 2021,W21,2021,Asset Management,child
22667,finley,Winter 2021,W21,2021,Fintech,top
22667,finley,Winter 2021,W21,2021,Credit and Lending,child
22836,fintoc,Winter 2021,W21,2021,Fintech,top
22836,fintoc,Winter 2021,W21,2021,Payments,child
22882,firstsupport-ai,Winter 2021,W21,2021,B2B,top
22882,firstsupport-ai,Winter 2021,W21,2021,Operations,child
22796,firstbase-io,Winter 2021,W21,2021,B2B,top
22796,firstbase-io,Winter 2021,W21,2021,Operations,child
23128,fithub-2,Winter 2021,W21,2021,Consumer,top
23128,fithub-2,Winter 2021,W21,2021,Food and Beverage,child
22989,flextock,Winter 2021,W21,2021,B2B,top
22989,flextock,Winter 2021,W21,2021,Supply Chain and Logistics,child
22774,flok,Winter 2021,W21,2021,B2B,top
23316,floweq,Winter 2021,W21,2021,B2B,top
23316,floweq,Winter 2021,W21,2021,Productivity,child
23301,flutterflow,Winter 2021,W21,2021,B2B,top
23301,flutterflow,Winter 2021,W21,2021,"Engineering, Product and Design",child
23645,flux-2,Winter 2021,W21,2021,Fintech,top
23645,flux-2,Winter 2021,W21,2021,Payments,child
22708,flux-auto,Winter 2021,W21,2021,Industrials,top
22708,flux-auto,Winter 2021,W21,2021,Manufacturing and Robotics,child
23511,forcyte-biotechnologies,Winter 2021,W21,2021,Healthcare,top
23511,forcyte-biotechnologies,Winter 2021,W21,2021,Diagnostics,child
23328,compound-writing,Winter 2021,W21,2021,Consumer,top
23328,compound-writing,Winter 2021,W21,2021,Home and Personal,child
22714,fountain9,Winter 2021,W21,2021,B2B,top
22714,fountain9,Winter 2021,W21,2021,Retail,child
22751,fractional,Winter 2021,W21,2021,Fintech,top
23415,friz,Winter 2021,W21,2021,Consumer,top
23415,friz,Winter 2021,W21,2021,Job and Career Services,child
22788,functionup-fanplay,Winter 2021,W21,2021,Education,top
22695,furmacy,Winter 2021,W21,2021,Healthcare,top
22695,furmacy,Winter 2021,W21,2021,Healthcare IT,child
23305,galaxy,Winter 2021,W21,2021,B2B,top
23305,galaxy,Winter 2021,W21,2021,Infrastructure,child
22702,gerald-technologies-inc,Winter 2021,W21,2021,Fintech,top
23389,gigs,Winter 2021,W21,2021,B2B,top
23389,gigs,Winter 2021,W21,2021,"Engineering, Product and Design",child
22673,gigs-live,Winter 2021,W21,2021,Consumer,top
22888,gimbooks,Winter 2021,W21,2021,B2B,top
22888,gimbooks,Winter 2021,W21,2021,Finance and Accounting,child
22712,gobuild-fka-brick,Winter 2021,W21,2021,Fintech,top
22712,gobuild-fka-brick,Winter 2021,W21,2021,Credit and Lending,child
22565,gonddo,Winter 2021,W21,2021,B2B,top
22565,gonddo,Winter 2021,W21,2021,Retail,child
22777,gradia-health,Winter 2021,W21,2021,Healthcare,top
22777,gradia-health,Winter 2021,W21,2021,Healthcare IT,child
23306,greaseboss,Winter 2021,W21,2021,Industrials,top
23306,greaseboss,Winter 2021,W21,2021,Manufacturing and Robotics,child
22947,great-question,Winter 2021,W21,2021,B2B,top
22947,great-question,Winter 2021,W21,2021,"Engineering, Product and Design",child
22889,greywing,Winter 2021,W21,2021,B2B,top
22889,greywing,Winter 2021,W21,2021,Supply Chain and Logistics,child
22789,gridware,Winter 2021,W21,2021,Industrials,top
22789,gridware,Winter 2021,W21,2021,Energy,child
22677,gromo,Winter 2021,W21,2021,Fintech,top
23556,h3x-technologies,Winter 2021,W21,2021,Industrials,top
23556,h3x-technologies,Winter 2021,W21,2021,Aviation and Space,child
23453,hubuc,Winter 2021,W21,2021,Fintech,top
23453,hubuc,Winter 2021,W21,2021,Payments,child
22668,hapi,Winter 2021,W21,2021,Fintech,top
22668,hapi,Winter 2021,W21,2021,Consumer Finance,child
23259,haystack,Winter 2021,W21,2021,B2B,top
23259,haystack,Winter 2021,W21,2021,"Engineering, Product and Design",child
22876,hermes-robotics,Winter 2021,W21,2021,Industrials,top
22876,hermes-robotics,Winter 2021,W21,2021,Defense,child
23242,homebreeze,Winter 2021,W21,2021,Consumer,top
23242,homebreeze,Winter 2021,W21,2021,Home and Personal,child
22983,homebase,Winter 2021,W21,2021,Real Estate and Construction,top
