batch,rank,subindustry,share_pct,count
Winter 2024,3,Consumer,6.452,16
Winter 2024,4,B2B -> Infrastructure,5.242,13
Winter 2024,5,B2B -> Operations,3.629,9
Winter 2024,6,Healthcare -> Healthcare IT,3.629,9
Winter 2024,7,B2B -> Sales,3.226,8
Winter 2024,8,B2B -> Analytics,3.226,8
Winter 2024,9,Healthcare,3.226,8
Winter 2024,10,B2B -> Productivity,2.823,7
Winter 2024,11,Consumer -> Content,2.823,7
Winter 2024,12,Fintech,2.419,6
Winter 2024,13,Healthcare -> Therapeutics,2.419,6
Winter 2024,14,B2B -> Supply Chain and Logistics,2.419,6
Winter 2024,15,B2B -> Security,2.016,5
Winter 2024,16,Fintech -> Payments,1.613,4
Winter 2024,17,Industrials -> Manufacturing and Robotics,1.613,4
Winter 2024,18,Industrials -> Aviation and Space,1.613,4
Winter 2024,19,Fintech -> Insurance,1.21,3
Winter 2024,20,B2B -> Legal,1.21,3
Summer 2024,1,B2B,18.548,46
Summer 2024,2,"B2B -> Engineering, Product and Design",16.532,41
Summer 2024,3,B2B -> Infrastructure,4.435,11
Summer 2024,4,Consumer,4.435,11
Summer 2024,5,B2B -> Productivity,4.032,10
Summer 2024,6,B2B -> Operations,3.629,9
Summer 2024,7,Industrials -> Manufacturing and Robotics,3.629,9
Summer 2024,8,B2B -> Supply Chain and Logistics,3.226,8
Summer 2024,9,Healthcare -> Healthcare IT,2.823,7
Summer 2024,10,B2B -> Finance and Accounting,2.823,7
Summer 2024,11,Healthcare,2.823,7
Summer 2024,12,Industrials,2.016,5
Summer 2024,13,B2B -> Retail,2.016,5
Summer 2024,14,B2B -> Legal,2.016,5
Summer 2024,15,B2B -> Security,1.613,4
Summer 2024,16,B2B -> Marketing,1.613,4
Summer 2024,17,Industrials -> Climate,1.613,4
Summer 2024,18,Government,1.613,4
Summer 2024,19,Fintech,1.21,3
Summer 2024,20,Fintech -> Asset Management,1.21,3
Fall 2024,1,"B2B -> Engineering, Product and Design",17.021,16
Fall 2024,2,B2B,14.894,14
Fall 2024,3,Consumer,7.447,7
Fall 2024,4,B2B -> Infrastructure,6.383,6
Fall 2024,5,Healthcare,6.383,6
Fall 2024,6,B2B -> Sales,4.255,4
Fall 2024,7,Fintech,4.255,4
Fall 2024,8,B2B -> Operations,4.255,4
Fall 2024,9,B2B -> Productivity,3.191,3
Fall 2024,10,Real Estate and Construction -> Construction,3.191,3
Fall 2024,11,Industrials -> Aviation and Space,3.191,3
Fall 2024,12,B2B -> Legal,2.128,2
Fall 2024,13,B2B -> Marketing,2.128,2
Fall 2024,14,Healthcare -> Healthcare IT,2.128,2
Fall 2024,15,B2B -> Finance and Accounting,2.128,2
Fall 2024,16,Consumer -> Social,1.064,1
Fall 2024,17,B2B -> Supply Chain and Logistics,1.064,1
Fall 2024,18,Consumer -> Content,1.064,1
Fall 2024,19,"Consumer -> Travel, Leisure and Tourism",1.064,1
Fall 2024,20,Fintech -> Insurance,1.064,1
Winter 2025,1,B2B,21.084,35
Winter 2025,2,"B2B -> Engineering, Product and Design",14.458,24
Winter 2025,3,B2B -> Infrastructure,4.819,8
Winter 2025,4,B2B -> Productivity,4.217,7
Winter 2025,5,Industrials -> Manufacturing and Robotics,4.217,7
Winter 2025,6,B2B -> Recruiting and Talent,3.012,5
Winter 2025,7,Consumer,3.012,5
Winter 2025,8,B2B -> Sales,3.012,5
Winter 2025,9,Education,3.012,5
Winter 2025,10,B2B -> Finance and Accounting,3.012,5
Winter 2025,11,Government,2.41,4
Winter 2025,12,Healthcare -> Healthcare IT,2.41,4
Winter 2025,13,B2B -> Legal,2.41,4
Winter 2025,14,Industrials -> Aviation and Space,2.41,4
Winter 2025,15,B2B -> Operations,1.807,3
Winter 2025,16,Fintech -> Insurance,1.807,3
Winter 2025,17,Healthcare,1.807,3
Winter 2025,18,B2B -> Analytics,1.807,3
Winter 2025,19,Fintech,1.807,3
Winter 2025,20,B2B -> Security,1.205,2
Spring 2025,1,B2B,20.979,30
Spring 2025,2,"B2B -> Engineering, Product and Design",16.783,24
Spring 2025,3,B2B -> Infrastructure,6.294,9
Spring 2025,4,Industrials -> Manufacturing and Robotics,6.294,9
Spring 2025,5,B2B -> Security,5.594,8
Spring 2025,6,Consumer,3.497,5
Spring 2025,7,B2B -> Supply Chain and Logistics,2.797,4
Spring 2025,8,B2B -> Productivity,2.797,4
Spring 2025,9,B2B -> Legal,2.797,4
Spring 2025,10,B2B -> Finance and Accounting,2.797,4
Spring 2025,11,Healthcare -> Healthcare IT,2.797,4
Spring 2025,12,Healthcare,2.098,3
Spring 2025,13,Education,2.098,3
Spring 2025,14,B2B -> Analytics,2.098,3
Spring 2025,15,B2B -> Retail,1.399,2
Spring 2025,16,B2B -> Sales,1.399,2
Spring 2025,17,B2B -> Operations,1.399,2
Spring 2025,18,Fintech -> Insurance,1.399,2
Spring 2025,19,Fintech -> Banking and Exchange,1.399,2
Spring 2025,20,Healthcare -> Consumer Health and Wellness,1.399,2
Summer 2025,1,B2B,20.482,34
Summer 2025,2,"B2B -> Engineering, Product and Design",15.06,25
Summer 2025,3,B2B -> Infrastructure,8.434,14
Summer 2025,4,Consumer,5.422,9
Summer 2025,5,B2B -> Productivity,4.217,7
Summer 2025,6,Industrials -> Manufacturing and Robotics,4.217,7
Summer 2025,7,B2B -> Supply Chain and Logistics,3.614,6
Summer 2025,8,B2B -> Analytics,3.614,6
Summer 2025,9,Healthcare -> Healthcare IT,3.012,5
Summer 2025,10,B2B -> Sales,3.012,5
Summer 2025,11,B2B -> Security,1.807,3
