industry,batch,count,share_pct,batch_code,year,batch_order,total_companies,is_partial_batch
Healthcare,Spring 2026,17,8.718,X26,2026,20261,195,False
Healthcare,Summer 2026,21,8.936,S26,2026,20262,235,False
Healthcare,Fall 2026,0,0.0,F26,2026,20263,35,True
Healthcare,Winter 2027,0,0.0,W27,2027,20270,1,True
Industrials,Winter 2021,23,6.845,W21,2021,20210,336,False
Industrials,Summer 2021,20,5.115,S21,2021,20212,391,False
Industrials,Winter 2022,24,6.03,W22,2022,20220,398,False
Industrials,Summer 2022,14,5.983,S22,2022,20222,234,False
Industrials,Winter 2023,6,2.19,W23,2023,20230,274,False
Industrials,Summer 2023,6,2.727,S23,2023,20232,220,False
Industrials,Winter 2024,10,4.032,W24,2024,20240,248,False
Industrials,Summer 2024,25,10.081,S24,2024,20242,248,False
Industrials,Fall 2024,5,5.319,F24,2024,20243,94,False
Industrials,Winter 2025,19,11.446,W25,2025,20250,166,False
Industrials,Spring 2025,15,10.49,X25,2025,20251,143,False
Industrials,Summer 2025,14,8.434,S25,2025,20252,166,False
Industrials,Fall 2025,14,9.589,F25,2025,20253,146,False
Industrials,Winter 2026,28,14.07,W26,2026,20260,199,False
Industrials,Spring 2026,25,12.821,X26,2026,20261,195,False
Industrials,Summer 2026,56,23.83,S26,2026,20262,235,False
Industrials,Fall 2026,8,22.857,F26,2026,20263,35,True
Industrials,Winter 2027,0,0.0,W27,2027,20270,1,True
Real Estate and Construction,Winter 2021,6,1.786,W21,2021,20210,336,False
Real Estate and Construction,Summer 2021,8,2.046,S21,2021,20212,391,False
Real Estate and Construction,Winter 2022,14,3.518,W22,2022,20220,398,False
Real Estate and Construction,Summer 2022,9,3.846,S22,2022,20222,234,False
Real Estate and Construction,Winter 2023,4,1.46,W23,2023,20230,274,False
Real Estate and Construction,Summer 2023,6,2.727,S23,2023,20232,220,False
Real Estate and Construction,Winter 2024,3,1.21,W24,2024,20240,248,False
Real Estate and Construction,Summer 2024,4,1.613,S24,2024,20242,248,False
