company_id,company_slug,batch,batch_code,year,tag
23279,chatwoot,Winter 2021,W21,2021,Customer Success
23279,chatwoot,Winter 2021,W21,2021,Open Source
23279,chatwoot,Winter 2021,W21,2021,Customer Service
23279,chatwoot,Winter 2021,W21,2021,Customer Support
23435,cheqout,Winter 2021,W21,2021,Payments
23633,chorus-sleep,Winter 2021,W21,2021,Mental Health Tech
23633,chorus-sleep,Winter 2021,W21,2021,Sleep Tech
23633,chorus-sleep,Winter 2021,W21,2021,Health Tech
22711,clay,Winter 2021,W21,2021,SaaS
22711,clay,Winter 2021,W21,2021,Productivity
22711,clay,Winter 2021,W21,2021,Collaboration
22711,clay,Winter 2021,W21,2021,Design Tools
23550,clear,Winter 2021,W21,2021,Marketplace
23550,clear,Winter 2021,W21,2021,Consumer
23550,clear,Winter 2021,W21,2021,Digital Health
23550,clear,Winter 2021,W21,2021,Data Engineering
22752,clipdrop,Winter 2021,W21,2021,SaaS
22752,clipdrop,Winter 2021,W21,2021,Computer Vision
22752,clipdrop,Winter 2021,W21,2021,Design Tools
23276,codeball,Winter 2021,W21,2021,Artificial Intelligence
23276,codeball,Winter 2021,W21,2021,Developer Tools
23276,codeball,Winter 2021,W21,2021,SaaS
22955,coderhouse,Winter 2021,W21,2021,Education
22955,coderhouse,Winter 2021,W21,2021,eLearning
22955,coderhouse,Winter 2021,W21,2021,Community
22997,codingal,Winter 2021,W21,2021,Education
22997,codingal,Winter 2021,W21,2021,eLearning
22997,codingal,Winter 2021,W21,2021,Edtech
23200,compose-ai,Winter 2021,W21,2021,Artificial Intelligence
23200,compose-ai,Winter 2021,W21,2021,NLP
23200,compose-ai,Winter 2021,W21,2021,Email
22841,controlhub,Winter 2021,W21,2021,Fintech
22841,controlhub,Winter 2021,W21,2021,SaaS
22841,controlhub,Winter 2021,W21,2021,B2B
22706,curvenote,Winter 2021,W21,2021,Documents
22706,curvenote,Winter 2021,W21,2021,Developer Tools
22706,curvenote,Winter 2021,W21,2021,SaaS
22781,cyble,Winter 2021,W21,2021,SaaS
22781,cyble,Winter 2021,W21,2021,Security
22781,cyble,Winter 2021,W21,2021,AI
22987,darrow,Winter 2021,W21,2021,LegalTech
22842,dashlabs-ai,Winter 2021,W21,2021,Health Tech
22842,dashlabs-ai,Winter 2021,W21,2021,B2B
22842,dashlabs-ai,Winter 2021,W21,2021,Digital Health
22842,dashlabs-ai,Winter 2021,W21,2021,Healthcare IT
23303,dataherald,Winter 2021,W21,2021,AI-Enhanced Learning
23303,dataherald,Winter 2021,W21,2021,Artificial Intelligence
23303,dataherald,Winter 2021,W21,2021,SaaS
23303,dataherald,Winter 2021,W21,2021,B2B
22951,datrics,Winter 2021,W21,2021,B2B
22951,datrics,Winter 2021,W21,2021,Analytics
22951,datrics,Winter 2021,W21,2021,Healthcare
22951,datrics,Winter 2021,W21,2021,Health Insurance
22951,datrics,Winter 2021,W21,2021,AI
23405,dayra,Winter 2021,W21,2021,Banking as a Service
23405,dayra,Winter 2021,W21,2021,Fintech
22470,degrees-of-freedom,Winter 2021,W21,2021,Virtual Reality
