industry,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0
B2B,343,300,336,373,402,380,1
Consumer,78,60,30,58,45,37,0
Education,28,9,6,5,10,1,0
Fintech,114,133,48,36,36,58,0
Government,2,1,1,6,9,4,0
Healthcare,105,68,51,61,45,54,0
Industrials,43,38,12,40,62,117,0
Real Estate and Construction,14,23,10,11,12,13,0
