industry,companies,share_pct
B2B,2135,57.25
Fintech,425,11.4
Healthcare,384,10.3
Industrials,312,8.37
Consumer,308,8.26
Real Estate and Construction,83,2.23
Education,59,1.58
Government,23,0.62
