kind,label,our_count,source_count,match,source_file,meta_count
batch,Winter 2012,66,66,True,batches/winter-2012.json,66.0
batch,Summer 2011,60,60,True,batches/summer-2011.json,60.0
batch,Winter 2011,45,45,True,batches/winter-2011.json,45.0
batch,Summer 2010,36,36,True,batches/summer-2010.json,36.0
batch,Winter 2010,27,27,True,batches/winter-2010.json,27.0
batch,Summer 2009,26,26,True,batches/summer-2009.json,26.0
batch,Winter 2009,16,16,True,batches/winter-2009.json,16.0
batch,Summer 2008,22,22,True,batches/summer-2008.json,22.0
batch,Winter 2008,21,21,True,batches/winter-2008.json,21.0
batch,Summer 2007,19,19,True,batches/summer-2007.json,19.0
batch,Winter 2007,13,13,True,batches/winter-2007.json,13.0
batch,Summer 2006,10,10,True,batches/summer-2006.json,10.0
batch,Winter 2006,7,7,True,batches/winter-2006.json,7.0
batch,Summer 2005,9,9,True,batches/summer-2005.json,9.0
batch,Summer 2012,83,83,True,batches/summer-2012.json,83.0
batch,Winter 2013,46,46,True,batches/winter-2013.json,46.0
batch,Summer 2013,52,52,True,batches/summer-2013.json,52.0
batch,Winter 2014,74,74,True,batches/winter-2014.json,74.0
batch,Summer 2014,78,78,True,batches/summer-2014.json,78.0
batch,Winter 2015,110,110,True,batches/winter-2015.json,110.0
batch,Summer 2015,104,104,True,batches/summer-2015.json,104.0
batch,Winter 2016,122,122,True,batches/winter-2016.json,122.0
batch,Summer 2017,125,125,True,batches/summer-2017.json,125.0
batch,Summer 2016,102,102,True,batches/summer-2016.json,102.0
batch,Winter 2017,116,116,True,batches/winter-2017.json,116.0
batch,Winter 2018,146,146,True,batches/winter-2018.json,146.0
batch,Summer 2018,131,131,True,batches/summer-2018.json,131.0
batch,Summer 2019,176,176,True,batches/summer-2019.json,176.0
batch,Winter 2019,194,194,True,batches/winter-2019.json,194.0
batch,Winter 2020,228,228,True,batches/winter-2020.json,228.0
batch,Summer 2020,209,209,True,batches/summer-2020.json,209.0
batch,Winter 2021,336,336,True,batches/winter-2021.json,336.0
batch,Summer 2021,391,391,True,batches/summer-2021.json,391.0
batch,Winter 2022,398,398,True,batches/winter-2022.json,398.0
