industry,Summer 2005,Winter 2006,Summer 2006,Winter 2007,Summer 2007,Winter 2008,Summer 2008,Winter 2009,Summer 2009,Winter 2010,Summer 2010,Winter 2011,Summer 2011,Winter 2012,Summer 2012,Winter 2013,Summer 2013,Winter 2014,Summer 2014,Winter 2015,Summer 2015,Winter 2016,Summer 2016,Winter 2017,Summer 2017,Winter 2018,Summer 2018,Winter 2019,Summer 2019,Winter 2020,Summer 2020,Winter 2021,Summer 2021,Winter 2022,Summer 2022,Winter 2023,Summer 2023,Winter 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026,Spring 2026,Summer 2026,Fall 2026,Winter 2027
B2B,55.556,57.143,20.0,23.077,36.842,57.143,36.364,31.25,34.615,62.963,44.444,51.111,50.0,45.455,51.807,54.348,50.0,50.0,34.615,40.0,39.423,42.623,30.392,35.345,21.6,37.671,34.351,41.753,39.773,43.86,51.196,48.214,46.292,44.975,51.709,67.153,69.091,62.903,64.516,60.638,62.651,67.832,67.47,60.959,63.317,58.462,51.915,51.429,100.0
Consumer,33.333,42.857,80.0,53.846,63.158,38.095,63.636,56.25,46.154,33.333,44.444,31.111,30.0,31.818,32.53,26.087,28.846,24.324,28.205,19.091,24.038,18.033,31.373,18.966,26.4,23.973,13.74,19.072,15.341,12.719,12.919,11.607,9.974,9.548,9.402,7.664,4.091,11.29,7.661,11.702,5.422,4.895,7.229,11.644,4.02,6.667,4.681,14.286,0.0
Education,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.846,0.0,2.778,4.444,5.0,3.03,6.024,0.0,3.846,2.703,0.0,0.0,2.885,1.639,3.922,1.724,4.8,2.74,3.053,3.608,2.841,2.193,1.914,3.869,3.836,2.01,0.427,1.095,1.364,1.21,0.403,1.064,3.012,2.098,1.205,0.0,0.0,0.0,0.426,0.0,0.0
Fintech,11.111,0.0,0.0,7.692,0.0,4.762,0.0,0.0,7.692,0.0,5.556,6.667,6.667,7.576,3.614,4.348,7.692,5.405,12.821,8.182,8.654,8.197,6.863,10.345,11.2,7.534,10.687,11.34,14.205,14.035,11.962,15.179,16.113,22.613,18.376,11.679,7.273,7.258,4.839,6.383,7.229,4.895,5.422,5.479,9.045,10.769,6.809,8.571,0.0
Government,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.282,2.727,0.0,0.82,0.98,0.862,3.2,1.37,0.763,1.031,1.136,0.0,1.435,0.298,0.256,0.251,0.0,0.365,0.0,0.403,1.613,1.064,2.41,1.399,0.602,1.37,0.0,0.513,0.851,2.857,0.0
Healthcare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.444,5.0,3.03,4.819,13.043,7.692,2.703,12.821,18.182,10.577,15.574,10.784,15.517,15.2,19.178,28.244,12.887,13.636,15.789,15.311,12.202,16.368,11.055,10.256,8.394,12.727,11.694,9.274,9.574,6.627,7.692,7.229,7.534,8.04,8.718,8.936,0.0,0.0
Industrials,0.0,0.0,0.0,15.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.545,1.205,2.174,0.0,6.757,7.692,3.636,9.615,8.197,9.804,10.345,12.8,5.479,6.87,7.732,6.818,7.456,2.871,6.845,5.115,6.03,5.983,2.19,2.727,4.032,10.081,5.319,11.446,10.49,8.434,9.589,14.07,12.821,23.83,22.857,0.0
Real Estate and Construction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,7.692,3.704,2.778,2.222,3.333,4.545,0.0,0.0,1.923,2.703,1.282,5.455,2.885,2.459,3.922,4.31,4.8,2.055,2.29,2.577,6.25,3.947,2.392,1.786,2.046,3.518,3.846,1.46,2.727,1.21,1.613,4.255,1.205,0.699,2.41,3.425,1.508,2.051,2.553,0.0,0.0
Unspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.405,1.282,2.727,1.923,2.459,1.961,2.586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
