city,batch,count,batch_order,total_companies,share_pct
"Bengaluru, India",Winter 2015,1,20150,110,0.91
"Bengaluru, India",Summer 2016,2,20162,102,1.96
"Bengaluru, India",Winter 2017,7,20170,116,6.03
"Bengaluru, India",Summer 2017,5,20172,125,4.0
"Bengaluru, India",Winter 2018,1,20180,146,0.68
"Bengaluru, India",Summer 2018,2,20182,131,1.53
"Bengaluru, India",Winter 2019,3,20190,194,1.55
"Bengaluru, India",Summer 2019,7,20192,176,3.98
"Bengaluru, India",Winter 2020,13,20200,228,5.7
"Bengaluru, India",Summer 2020,8,20202,209,3.83
"Bengaluru, India",Winter 2021,17,20210,336,5.06
"Bengaluru, India",Summer 2021,12,20212,391,3.07
"Bengaluru, India",Winter 2022,15,20220,398,3.77
"Bengaluru, India",Summer 2022,10,20222,234,4.27
"Bengaluru, India",Winter 2023,7,20230,274,2.55
"Bengaluru, India",Summer 2023,2,20232,220,0.91
"Bengaluru, India",Winter 2024,4,20240,248,1.61
"Bengaluru, India",Summer 2024,1,20242,248,0.4
"Bengaluru, India",Winter 2025,1,20250,166,0.6
"Bengaluru, India",Fall 2025,2,20253,146,1.37
"Bengaluru, India",Winter 2026,2,20260,199,1.01
"Bengaluru, India",Fall 2026,2,20263,35,5.71
"Bentonville, USA",Summer 2015,1,20152,104,0.96
"Berlin, Germany",Summer 2013,1,20132,52,1.92
"Berlin, Germany",Winter 2018,1,20180,146,0.68
"Berlin, Germany",Summer 2018,1,20182,131,0.76
"Berlin, Germany",Winter 2020,2,20200,228,0.88
"Berlin, Germany",Summer 2020,3,20202,209,1.44
"Berlin, Germany",Winter 2021,2,20210,336,0.6
"Berlin, Germany",Summer 2021,3,20212,391,0.77
"Berlin, Germany",Winter 2022,3,20220,398,0.75
"Berlin, Germany",Summer 2022,3,20222,234,1.28
"Berlin, Germany",Winter 2023,3,20230,274,1.09
"Berlin, Germany",Summer 2023,3,20232,220,1.36
"Berlin, Germany",Winter 2024,1,20240,248,0.4
"Berlin, Germany",Summer 2024,3,20242,248,1.21
"Berlin, Germany",Fall 2024,2,20243,94,2.13
"Berlin, Germany",Winter 2025,1,20250,166,0.6
"Berlin, Germany",Spring 2025,1,20251,143,0.7
"Berlin, Germany",Summer 2025,1,20252,166,0.6
"Berlin, Germany",Fall 2025,1,20253,146,0.68
"Berlin, Germany",Spring 2026,1,20261,195,0.51
"Birmingham, USA",Winter 2017,1,20170,116,0.86
"Birmingham, USA",Winter 2020,1,20200,228,0.44
"Birmingham, United Kingdom",Winter 2021,1,20210,336,0.3
"Bishkek, Kyrgyzstan",Summer 2019,1,20192,176,0.57
"Blountville, USA",Summer 2015,1,20152,104,0.96
"Bogotá, Colombia",Winter 2016,1,20160,122,0.82
"Bogotá, Colombia",Winter 2017,1,20170,116,0.86
"Bogotá, Colombia",Summer 2017,1,20172,125,0.8
"Bogotá, Colombia",Winter 2018,1,20180,146,0.68
"Bogotá, Colombia",Summer 2019,2,20192,176,1.14
"Bogotá, Colombia",Summer 2020,1,20202,209,0.48
"Bogotá, Colombia",Winter 2021,2,20210,336,0.6
"Bogotá, Colombia",Summer 2021,2,20212,391,0.51
"Bogotá, Colombia",Winter 2022,5,20220,398,1.26
"Bogotá, Colombia",Winter 2023,2,20230,274,0.73
"Bogotá, Colombia",Winter 2025,1,20250,166,0.6
"Boise, USA",Summer 2019,1,20192,176,0.57
"Boston, USA",Summer 2005,2,20052,9,22.22
"Boston, USA",Winter 2006,1,20060,7,14.29
"Boston, USA",Summer 2006,2,20062,10,20.0
"Boston, USA",Winter 2007,1,20070,13,7.69
"Boston, USA",Summer 2007,3,20072,19,15.79
"Boston, USA",Summer 2008,3,20082,22,13.64
"Boston, USA",Winter 2010,1,20100,27,3.7
"Boston, USA",Winter 2012,3,20120,66,4.55
"Boston, USA",Summer 2014,2,20142,78,2.56
"Boston, USA",Winter 2015,2,20150,110,1.82
"Boston, USA",Summer 2015,2,20152,104,1.92
"Boston, USA",Winter 2016,1,20160,122,0.82
"Boston, USA",Summer 2016,3,20162,102,2.94
"Boston, USA",Winter 2017,3,20170,116,2.59
"Boston, USA",Winter 2018,6,20180,146,4.11
"Boston, USA",Summer 2018,5,20182,131,3.82
"Boston, USA",Winter 2019,10,20190,194,5.15
"Boston, USA",Summer 2019,4,20192,176,2.27
"Boston, USA",Winter 2020,4,20200,228,1.75
"Boston, USA",Summer 2020,4,20202,209,1.91
"Boston, USA",Winter 2021,2,20210,336,0.6
"Boston, USA",Summer 2021,8,20212,391,2.05
"Boston, USA",Winter 2022,3,20220,398,0.75
"Boston, USA",Summer 2022,3,20222,234,1.28
"Boston, USA",Winter 2023,5,20230,274,1.82
"Boston, USA",Summer 2023,2,20232,220,0.91
"Boston, USA",Winter 2024,2,20240,248,0.81
"Boston, USA",Summer 2024,1,20242,248,0.4
"Boston, USA",Fall 2024,1,20243,94,1.06
"Boston, USA",Winter 2025,1,20250,166,0.6
"Boston, USA",Spring 2025,3,20251,143,2.1
"Boston, USA",Summer 2025,1,20252,166,0.6
"Boston, USA",Fall 2025,1,20253,146,0.68
"Boston, USA",Spring 2026,2,20261,195,1.03
"Boston, USA",Summer 2026,8,20262,235,3.4
"Boston, USA",Fall 2026,1,20263,35,2.86
"Boulder, USA",Summer 2011,1,20112,60,1.67
"Boulder, USA",Summer 2012,1,20122,83,1.2
"Boulder, USA",Winter 2016,1,20160,122,0.82
"Boulder, USA",Summer 2019,1,20192,176,0.57
"Boulder, USA",Winter 2021,1,20210,336,0.3
"Boulder, USA",Summer 2023,1,20232,220,0.45
"Boulder, USA",Fall 2025,1,20253,146,0.68
"Brisbane, Australia",Summer 2015,1,20152,104,0.96
"Brisbane, Australia",Summer 2021,1,20212,391,0.26
"Brisbane, Australia",Winter 2022,1,20220,398,0.25
"Brisbane, Australia",Winter 2023,1,20230,274,0.36
"Brisbane, Australia",Winter 2025,1,20250,166,0.6
"Brisbane, USA",Summer 2019,1,20192,176,0.57
"Broken Arrow, USA",Winter 2017,1,20170,116,0.86
"Brussels, Belgium",Winter 2021,1,20210,336,0.3
"Brussels, Belgium",Fall 2025,1,20253,146,0.68
"Bucharest, Romania",Winter 2021,1,20210,336,0.3
"Bucharest, Romania",Summer 2021,1,20212,391,0.26
"Budapest, Hungary",Winter 2017,1,20170,116,0.86
"Buenos Aires, Argentina",Winter 2015,1,20150,110,0.91
"Buenos Aires, Argentina",Winter 2019,1,20190,194,0.52
"Buenos Aires, Argentina",Summer 2019,2,20192,176,1.14
"Buenos Aires, Argentina",Winter 2020,2,20200,228,0.88
"Buenos Aires, Argentina",Summer 2020,1,20202,209,0.48
"Buenos Aires, Argentina",Winter 2021,2,20210,336,0.6
"Buenos Aires, Argentina",Summer 2021,1,20212,391,0.26
"Buenos Aires, Argentina",Winter 2022,3,20220,398,0.75
"Buenos Aires, Argentina",Summer 2022,1,20222,234,0.43
"Buenos Aires, Argentina",Winter 2023,1,20230,274,0.36
"Buenos Aires, Argentina",Summer 2024,1,20242,248,0.4
"Burlington, USA",Summer 2020,1,20202,209,0.48
"CA, USA",Winter 2009,2,20090,16,12.5
"CA, USA",Summer 2012,1,20122,83,1.2
"CA, USA",Summer 2017,1,20172,125,0.8
"CA, USA",Summer 2018,1,20182,131,0.76
"CA, USA",Winter 2022,1,20220,398,0.25
"CT, Spain",Summer 2019,1,20192,176,0.57
"CT, Spain",Summer 2020,1,20202,209,0.48
"Cairo, Egypt",Winter 2016,1,20160,122,0.82
"Cairo, Egypt",Summer 2019,2,20192,176,1.14
"Cairo, Egypt",Winter 2020,1,20200,228,0.44
"Cairo, Egypt",Summer 2020,1,20202,209,0.48
"Cairo, Egypt",Winter 2021,3,20210,336,0.89
"Cairo, Egypt",Summer 2021,3,20212,391,0.77
"Calgary, Canada",Winter 2021,1,20210,336,0.3
"Calgary, Canada",Summer 2021,1,20212,391,0.26
"Cali, Colombia",Winter 2019,1,20190,194,0.52
"Cali, Colombia",Summer 2019,1,20192,176,0.57
"Cambridge, United Kingdom",Winter 2017,1,20170,116,0.86
"Cambridge, United Kingdom",Summer 2017,1,20172,125,0.8
"Cambridge, United Kingdom",Summer 2018,1,20182,131,0.76
"Campinas, Brazil",Winter 2022,1,20220,398,0.25
"Cancún, Mexico",Winter 2022,1,20220,398,0.25
"Cape Town, South Africa",Summer 2021,2,20212,391,0.51
"Carlsbad, USA",Summer 2014,1,20142,78,1.28
