macro_region,batch,count,batch_order,total_companies,share_pct
Latin America,Winter 2020,19,20200,228,8.33
Latin America,Summer 2020,12,20202,209,5.74
Latin America,Winter 2021,31,20210,336,9.23
Latin America,Summer 2021,44,20212,391,11.25
Latin America,Winter 2022,33,20220,398,8.29
Latin America,Summer 2022,12,20222,234,5.13
Latin America,Winter 2023,10,20230,274,3.65
Latin America,Summer 2023,2,20232,220,0.91
Latin America,Winter 2024,1,20240,248,0.4
Latin America,Summer 2024,2,20242,248,0.81
Latin America,Winter 2025,1,20250,166,0.6
Latin America,Summer 2025,2,20252,166,1.2
Latin America,Summer 2026,2,20262,235,0.85
Middle East and North Africa,Summer 2011,1,20112,60,1.67
Middle East and North Africa,Winter 2012,1,20120,66,1.52
Middle East and North Africa,Summer 2015,2,20152,104,1.92
Middle East and North Africa,Winter 2016,3,20160,122,2.46
Middle East and North Africa,Summer 2016,2,20162,102,1.96
Middle East and North Africa,Winter 2017,3,20170,116,2.59
Middle East and North Africa,Summer 2017,2,20172,125,1.6
Middle East and North Africa,Summer 2018,4,20182,131,3.05
Middle East and North Africa,Winter 2019,3,20190,194,1.55
Middle East and North Africa,Summer 2019,2,20192,176,1.14
Middle East and North Africa,Winter 2020,4,20200,228,1.75
Middle East and North Africa,Summer 2020,3,20202,209,1.44
Middle East and North Africa,Winter 2021,7,20210,336,2.08
Middle East and North Africa,Summer 2021,11,20212,391,2.81
Middle East and North Africa,Winter 2022,11,20220,398,2.76
Middle East and North Africa,Summer 2022,10,20222,234,4.27
Middle East and North Africa,Winter 2023,10,20230,274,3.65
Middle East and North Africa,Summer 2023,2,20232,220,0.91
Middle East and North Africa,Summer 2024,1,20242,248,0.4
Middle East and North Africa,Winter 2025,2,20250,166,1.2
Middle East and North Africa,Summer 2026,1,20262,235,0.43
Middle East and North Africa,Fall 2026,1,20263,35,2.86
Oceania,Summer 2015,1,20152,104,0.96
Oceania,Summer 2017,1,20172,125,0.8
Oceania,Winter 2019,1,20190,194,0.52
Oceania,Summer 2019,1,20192,176,0.57
Oceania,Winter 2021,1,20210,336,0.3
Oceania,Summer 2021,3,20212,391,0.77
Oceania,Winter 2022,7,20220,398,1.76
Oceania,Summer 2022,2,20222,234,0.85
Oceania,Winter 2023,2,20230,274,0.73
Oceania,Winter 2025,1,20250,166,0.6
Oceania,Winter 2026,2,20260,199,1.01
Oceania,Summer 2026,1,20262,235,0.43
South Asia,Summer 2012,1,20122,83,1.2
South Asia,Summer 2014,1,20142,78,1.28
South Asia,Winter 2015,1,20150,110,0.91
South Asia,Summer 2015,4,20152,104,3.85
South Asia,Winter 2016,3,20160,122,2.46
South Asia,Summer 2016,3,20162,102,2.94
South Asia,Winter 2017,9,20170,116,7.76
South Asia,Summer 2017,6,20172,125,4.8
South Asia,Winter 2018,4,20180,146,2.74
South Asia,Summer 2018,4,20182,131,3.05
South Asia,Winter 2019,11,20190,194,5.67
South Asia,Summer 2019,11,20192,176,6.25
South Asia,Winter 2020,27,20200,228,11.84
South Asia,Summer 2020,12,20202,209,5.74
South Asia,Winter 2021,37,20210,336,11.01
South Asia,Summer 2021,27,20212,391,6.91
South Asia,Winter 2022,28,20220,398,7.04
South Asia,Summer 2022,19,20222,234,8.12
South Asia,Winter 2023,9,20230,274,3.28
South Asia,Summer 2023,2,20232,220,0.91
South Asia,Winter 2024,4,20240,248,1.61
South Asia,Summer 2024,3,20242,248,1.21
South Asia,Winter 2025,1,20250,166,0.6
South Asia,Fall 2025,2,20253,146,1.37
South Asia,Winter 2026,2,20260,199,1.01
South Asia,Summer 2026,1,20262,235,0.43
South Asia,Fall 2026,2,20263,35,5.71
Southeast Asia,Winter 2013,1,20130,46,2.17
Southeast Asia,Winter 2014,1,20140,74,1.35
Southeast Asia,Winter 2015,2,20150,110,1.82
Southeast Asia,Summer 2015,2,20152,104,1.92
Southeast Asia,Summer 2016,1,20162,102,0.98
Southeast Asia,Winter 2017,1,20170,116,0.86
Southeast Asia,Summer 2017,2,20172,125,1.6
Southeast Asia,Winter 2018,4,20180,146,2.74
Southeast Asia,Summer 2018,2,20182,131,1.53
Southeast Asia,Winter 2019,5,20190,194,2.58
Southeast Asia,Summer 2019,3,20192,176,1.7
Southeast Asia,Winter 2020,3,20200,228,1.32
Southeast Asia,Summer 2020,5,20202,209,2.39
Southeast Asia,Winter 2021,11,20210,336,3.27
Southeast Asia,Summer 2021,22,20212,391,5.63
Southeast Asia,Winter 2022,30,20220,398,7.54
Southeast Asia,Summer 2022,8,20222,234,3.42
Southeast Asia,Winter 2023,4,20230,274,1.46
Southeast Asia,Summer 2023,1,20232,220,0.45
Southeast Asia,Fall 2024,1,20243,94,1.06
Southeast Asia,Winter 2026,1,20260,199,0.5
Southeast Asia,Summer 2026,2,20262,235,0.85
Southeast Asia,Fall 2026,1,20263,35,2.86
Unspecified,Winter 2006,1,20060,7,14.29
Unspecified,Summer 2006,1,20062,10,10.0
Unspecified,Winter 2007,1,20070,13,7.69
Unspecified,Summer 2007,3,20072,19,15.79
Unspecified,Winter 2008,4,20080,21,19.05
Unspecified,Summer 2008,5,20082,22,22.73
Unspecified,Winter 2009,2,20090,16,12.5
Unspecified,Summer 2009,2,20092,26,7.69
Unspecified,Winter 2010,2,20100,27,7.41
Unspecified,Summer 2010,1,20102,36,2.78
Unspecified,Winter 2012,4,20120,66,6.06
Unspecified,Summer 2012,9,20122,83,10.84
Unspecified,Summer 2013,2,20132,52,3.85
Unspecified,Winter 2014,1,20140,74,1.35
Unspecified,Summer 2014,3,20142,78,3.85
Unspecified,Winter 2015,1,20150,110,0.91
Unspecified,Summer 2015,1,20152,104,0.96
Unspecified,Winter 2016,3,20160,122,2.46
Unspecified,Summer 2016,1,20162,102,0.98
Unspecified,Winter 2017,5,20170,116,4.31
Unspecified,Summer 2017,2,20172,125,1.6
Unspecified,Winter 2018,4,20180,146,2.74
Unspecified,Summer 2018,1,20182,131,0.76
Unspecified,Winter 2019,2,20190,194,1.03
Unspecified,Summer 2019,1,20192,176,0.57
Unspecified,Winter 2020,2,20200,228,0.88
Unspecified,Summer 2021,1,20212,391,0.26
Unspecified,Winter 2023,7,20230,274,2.55
Unspecified,Summer 2023,7,20232,220,3.18
Unspecified,Winter 2024,9,20240,248,3.63
Unspecified,Summer 2024,3,20242,248,1.21
Unspecified,Winter 2025,3,20250,166,1.81
Unspecified,Spring 2025,4,20251,143,2.8
Unspecified,Summer 2025,3,20252,166,1.81
Unspecified,Fall 2025,6,20253,146,4.11
Unspecified,Winter 2026,9,20260,199,4.52
Unspecified,Spring 2026,1,20261,195,0.51
Unspecified,Summer 2026,1,20262,235,0.43
Unspecified,Fall 2026,2,20263,35,5.71
