industry,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
B2B,55.556,35.294,31.25,46.512,33.333,52.381,50.476,48.993,52.041,42.105,39.72,37.054,28.216,36.101,40.811,47.368,47.18,47.468,68.016,63.22,64.734,57.229,100.0
Consumer,33.333,64.706,59.375,51.163,50.0,39.683,30.476,32.215,27.551,26.316,21.495,24.107,22.822,19.134,17.297,12.815,10.729,9.494,6.073,9.831,7.246,5.572,0.0
Education,0.0,0.0,0.0,0.0,2.381,1.587,4.762,4.698,2.041,1.316,1.402,2.679,3.32,2.888,3.243,2.059,3.851,1.424,1.215,0.847,1.61,0.151,0.0
Fintech,11.111,0.0,3.125,2.326,4.762,3.175,6.667,5.369,6.122,9.211,8.411,7.589,10.788,9.025,12.703,13.043,15.681,21.044,9.717,6.102,5.797,8.735,0.0
Government,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658,1.402,0.893,2.075,1.083,1.081,0.686,0.275,0.158,0.202,1.017,1.449,0.602,0.0
Healthcare,0.0,0.0,0.0,0.0,0.0,0.0,4.762,4.027,10.204,7.895,14.486,13.393,15.353,23.466,13.243,15.561,14.443,10.759,10.324,10.339,7.246,8.133,0.0
Industrials,0.0,0.0,6.25,0.0,0.0,0.0,0.0,2.685,1.02,7.237,6.542,8.929,11.618,6.137,7.297,5.263,5.915,6.013,2.429,6.78,9.984,17.62,0.0
Real Estate and Construction,0.0,0.0,0.0,0.0,9.524,3.175,2.857,2.013,1.02,1.974,4.206,3.125,4.564,2.166,4.324,3.204,1.926,3.639,2.024,1.864,1.932,1.958,0.0
Unspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.289,2.336,2.232,1.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
